id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
DLX_0001,শিক্ষানবিশ ড্রাইভিং লাইসেন্সের জন্য কারা আবেদন করতে পারেন?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
DLX_0002,আমার ক্ষেত্রে শিক্ষানবিশ ড্রাইভিং লাইসেন্সের জন্য কারা আবেদন করতে পারেন?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Formal,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
DLX_0003,শিক্ষানবিশ ড্রাইভিং লাইসেন্সের জন্য কারা আবেদন করতে পারেন; পরের ধাপটা কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Formal,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
DLX_0004,learner licence করার eligibility কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
DLX_0005,এটা নিয়ে সাহায্য দরকার: learner licence করার eligibility কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Informal,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
DLX_0006,এই বিষয়ে সহায়তা চাই: learner licence করার eligibility কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Informal,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
DLX_0007,ami learner driving licence er jonno eligible kina?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
DLX_0008,I am trying to understand this: ami learner driving licence er jonno eligible kina?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
DLX_0009,I need guidance on this: ami learner driving licence er jonno eligible kina?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
DLX_0010,গাড়ি চালানো শেখা শুরু করব—learner permit-এর জন্য qualify করি কি না জানতে চাই।,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F04,Hard,FALSE,Reviewed independent pilot seed retained for canonical expansion.
DLX_0011,গাড়ি চালানো শেখা শুরু করব—learner permit-এর জন্য qualify করি কি না জানতে প্রয়োজন—নিয়মটা জানাবেন?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F04,Hard,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
DLX_0012,"গাড়ি চালানো শেখা শুরু করতে হবে—learner permit-এর জন্য qualify করি কি না জানতে চাই, একটু বুঝিয়ে বলবেন?",DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,PARAPHRASED,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F04,Hard,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
DLX_0013,শিক্ষানবিশ ড্রাইভিং লাইসেন্স করার প্রক্রিয়াটি কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_PROCESS,Learner Licence Application Process,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_PROCESS_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
