id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes,review_priority,natural_query,passport_context_clear,parent_label_correct,query_topic_correct,more_specific_leaf_available,neighbor_confusion_risk,language_style_correct,priority_correct,difficulty_correct,independent_seed,mutable_fact_safe,privacy_safe,retain_leaf,review_decision,review_notes
PASSQ_0001,নতুন ই-পাসপোর্টের জন্য আবেদন করার পুরো প্রক্রিয়াটি কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0002,"প্রথমবার passport করতে চাই, শুরুটা কীভাবে করব?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0003,new e-passport apply korar process ta ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0004,আগে কখনো passport করিনি—কোন step থেকে application শুরু করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0005,অনলাইনে ই-পাসপোর্টের আবেদন কীভাবে জমা দেব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0006,passport application online এ fill up করে submit করব কীভাবে?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0007,e-passport er online application kothay korte hoy?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0008,"portal account আছে, এখন online passport applicationটা complete করব কীভাবে?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0009,ই-পাসপোর্টের আবেদন করার সময় কোন পাসপোর্ট অফিস নির্বাচন করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0010,আমার এলাকার জন্য কোন passport office select করতে হবে বুঝছি না।,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
