service,parent_topic_id,intent_leaves,train_rows,dev_rows,classifier_required,train_class_min,train_class_max,dev_class_min,dev_class_max,deterministic_intent
NID,NID_REGISTRATION,20,120,60,True,6,6,3,3,
NID,NID_CORRECTION,10,60,30,True,6,6,3,3,
NID,NID_REPLACEMENT,7,42,21,True,6,6,3,3,
NID,NID_ONLINE_SERVICES,13,78,39,True,6,6,3,3,
NID,NID_SMART_CARD,8,48,24,True,6,6,3,3,
NID,NID_STATUS_AND_ACCESS,5,30,15,True,6,6,3,3,
NID,NID_VOTER_SERVICES,3,18,9,True,6,6,3,3,
NID,NID_FEES_AND_PAYMENT,5,30,15,True,6,6,3,3,
NID,NID_GENERAL_INFORMATION,2,12,6,True,6,6,3,3,
BIRTH_REGISTRATION,BR_REGISTRATION,13,78,39,True,6,6,3,3,
BIRTH_REGISTRATION,BR_CORRECTION,7,42,21,True,6,6,3,3,
BIRTH_REGISTRATION,BR_APPLICATION_MANAGEMENT,4,24,12,True,6,6,3,3,
BIRTH_REGISTRATION,BR_CERTIFICATE_ACCESS,1,6,3,False,6,6,3,3,BR_CERTIFICATE_REPRINT
BIRTH_REGISTRATION,BR_VERIFICATION,2,12,6,True,6,6,3,3,
BIRTH_REGISTRATION,BR_CANCELLATION,1,6,3,False,6,6,3,3,BR_CANCELLATION_PROCESS
BIRTH_REGISTRATION,BR_FEES_AND_PAYMENT,1,6,3,False,6,6,3,3,BR_FEES_INFORMATION
BIRTH_REGISTRATION,BR_GENERAL_INFORMATION,1,6,3,False,6,6,3,3,BR_GENERAL_INFORMATION
PASSPORT,PASSPORT_APPLICATION,7,42,21,True,6,6,3,3,
PASSPORT,PASSPORT_DOCUMENTS,8,48,24,True,6,6,3,3,
PASSPORT,PASSPORT_ONLINE_ACCOUNT,8,48,24,True,6,6,3,3,
PASSPORT,PASSPORT_APPOINTMENT_AND_ENROLMENT,7,42,21,True,6,6,3,3,
PASSPORT,PASSPORT_REISSUE,8,48,24,True,6,6,3,3,
PASSPORT,PASSPORT_FEES_AND_PAYMENT,8,48,24,True,6,6,3,3,
PASSPORT,PASSPORT_STATUS_AND_DELIVERY,7,42,21,True,6,6,3,3,
PASSPORT,PASSPORT_GENERAL_INFORMATION,3,18,9,True,6,6,3,3,
TAX,TAX_TIN_REGISTRATION,7,42,21,True,6,6,3,3,
TAX,TAX_RETURN_FILING,8,48,24,True,6,6,3,3,
TAX,TAX_ONLINE_ACCOUNT,6,36,18,True,6,6,3,3,
TAX,TAX_PAYMENT,5,30,15,True,6,6,3,3,
TAX,TAX_STATUS_AND_DOCUMENTS,4,24,12,True,6,6,3,3,
TAX,TAX_GENERAL_AND_SUPPORT,3,18,9,True,6,6,3,3,
POLICE_GD,POLICE_GD_GUIDANCE,4,24,12,True,6,6,3,3,
POLICE_GD,POLICE_GD_FILING,7,42,21,True,6,6,3,3,
POLICE_GD,POLICE_GD_INCIDENT_TYPE,5,30,15,True,6,6,3,3,
POLICE_GD,POLICE_GD_ONLINE_ACCOUNT,6,36,18,True,6,6,3,3,
POLICE_GD,POLICE_GD_STATUS_FOLLOWUP,4,24,12,True,6,6,3,3,
POLICE_GD,POLICE_GD_COPY_REFERENCE,3,18,9,True,6,6,3,3,
POLICE_GD,POLICE_GD_TECHNICAL_PROBLEMS,2,12,6,True,6,6,3,3,
POLICE_GD,POLICE_GD_GENERAL_INFORMATION,1,6,3,False,6,6,3,3,POLICE_GD_GENERAL_SERVICE_GUIDANCE
DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,5,30,15,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,4,24,12,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_TEST,5,30,15,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_ONLINE_ACCOUNT,5,30,15,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_PAYMENT,4,24,12,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_STATUS_DELIVERY,5,30,15,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_RENEWAL,3,18,9,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_REPLACEMENT,3,18,9,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_CHANGES,4,24,12,True,6,6,3,3,
DRIVING_LICENCE,DRIVING_LICENCE_GENERAL,2,12,6,True,6,6,3,3,
