id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
OODQ_0001,খতিয়ান বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F01,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0002,খতিয়ান নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F01,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0003,খতিয়ান service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F01,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0004,নামজারি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F02,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0005,নামজারি নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F02,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0006,নামজারি service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F02,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0007,ভূমি কর বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F03,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0008,ভূমি কর নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F03,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0009,ভূমি কর service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F03,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0010,দাগ নম্বর বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F04,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0011,দাগ নম্বর নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F04,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0012,দাগ নম্বর service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F04,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0013,জমির নকশা বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F05,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0014,জমির নকশা নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F05,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0015,জমির নকশা service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F05,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0016,মৌজা বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F06,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0017,মৌজা নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F06,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0018,মৌজা service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F06,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
