id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
BRQ_0001,নতুন জন্ম নিবন্ধন কীভাবে করব?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_PROCESS,New Birth Registration Process,Low,Formal,False,,SYNTHETIC,BRP_0001,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0002,আমার বাচ্চার জন্ম নিবন্ধন করতে হলে শুরুটা কোথা থেকে করব?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_PROCESS,New Birth Registration Process,Low,Informal,False,,SYNTHETIC,BRP_0002,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0003,birth registration করার পুরো processটা বলবেন?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_PROCESS,New Birth Registration Process,Low,Mixed,False,,SYNTHETIC,BRP_0003,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0004,"অনলাইনের কথা না, সাধারণভাবে নতুন জন্ম নিবন্ধনের ধাপগুলো কী?",BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_PROCESS,New Birth Registration Process,Low,Mixed,False,,SYNTHETIC,BRP_0004,Medium,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0005,অনলাইনে জন্ম নিবন্ধনের আবেদন কীভাবে করব?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_ONLINE_APPLICATION,Online Birth Registration Application,Low,Formal,False,,SYNTHETIC,BRP_0005,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0006,ঘরে বসে birth registration apply করা যায়?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_ONLINE_APPLICATION,Online Birth Registration Application,Low,Mixed,False,,SYNTHETIC,BRP_0006,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0007,BDRIS portal e new birth registration application kothay korbo?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_ONLINE_APPLICATION,Online Birth Registration Application,Low,Mixed,False,,SYNTHETIC,BRP_0007,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0008,"আমি শুধু online application করার নিয়ম জানতে চাই, office selection না।",BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_ONLINE_APPLICATION,Online Birth Registration Application,Low,Mixed,False,,SYNTHETIC,BRP_0008,Medium,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0009,জন্ম নিবন্ধনের জন্য কোন অফিস নির্বাচন করব?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_LOCATION_SELECTION,Registration Office and Location Selection,Low,Formal,False,,SYNTHETIC,BRP_0009,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0010,জন্মস্থান নাকি স্থায়ী ঠিকানার অফিস থেকে apply করব?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_LOCATION_SELECTION,Registration Office and Location Selection,Low,Informal,False,,SYNTHETIC,BRP_0010,Medium,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0011,birth registration er jonno kon union/office select korbo?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_LOCATION_SELECTION,Registration Office and Location Selection,Low,Mixed,False,,SYNTHETIC,BRP_0011,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0012,"ফর্মে ঠিকানা কী লিখব সেটা না, কোন registration office বেছে নেব সেটাই জানতে চাই।",BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_LOCATION_SELECTION,Registration Office and Location Selection,Low,Mixed,False,,SYNTHETIC,BRP_0012,Medium,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0013,বিদেশ থেকে বাংলাদেশ দূতাবাসের মাধ্যমে জন্ম নিবন্ধন করা যাবে?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_OVERSEAS_EMBASSY,Overseas / Embassy Birth Registration,Low,Formal,False,,SYNTHETIC,BRP_0013,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0014,"আমি বাইরে থাকি, embassy দিয়ে birth registration করব কীভাবে?",BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_OVERSEAS_EMBASSY,Overseas / Embassy Birth Registration,Low,Mixed,False,,SYNTHETIC,BRP_0014,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0015,Bangladesh mission theke birth registration apply korar niyom ki?,BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_OVERSEAS_EMBASSY,Overseas / Embassy Birth Registration,Low,Mixed,False,,SYNTHETIC,BRP_0015,Easy,False,Pilot v0.1 synthetic seed; human review required before training.
BRQ_0016,"দেশের স্থানীয় অফিস না, আমি বিদেশে থেকে embassy route ব্যবহার করতে চাই।",BIRTH_REGISTRATION,BR_REGISTRATION,Birth Registration Application,BR_REGISTRATION_OVERSEAS_EMBASSY,Overseas / Embassy Birth Registration,Low,Mixed,False,,SYNTHETIC,BRP_0016,Medium,False,Pilot v0.1 synthetic seed; human review required before training.
