id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
TAXX_0001,নতুন করদাতা হিসেবে টিআইএন নিবন্ধনের প্রক্রিয়াটি কী?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Formal,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
TAXX_0002,আমার ক্ষেত্রে নতুন করদাতা হিসেবে টিআইএন নিবন্ধনের প্রক্রিয়াটি কী?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Formal,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0003,নতুন করদাতা হিসেবে টিআইএন নিবন্ধনের প্রক্রিয়াটি কী; পরের ধাপটা কী?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Formal,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0004,"TIN করতে চাই, শুরুটা কোথা থেকে করব?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Informal,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
TAXX_0005,"এটা নিয়ে সাহায্য দরকার: TIN করতে চাই, শুরুটা কোথা থেকে করতে হবে?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Informal,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0006,"TIN করতে চাই, শুরুটা কোথা থেকে করতে হবে?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Informal,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0007,e-TIN registration process ta kivabe complete korbo?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
TAXX_0008,I am trying to understand this: e-TIN registration process ta kon process e complete korbo?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0009,I need guidance on this: e-TIN registration process ta kon process e complete korbo?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,PARAPHRASED,TAX_TIN_REGISTRATION_PROCESS_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
TAXX_0010,"ব্যবসা শুরু করেছি, taxpayer হিসেবে first registrationটা কীভাবে করব?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F04,Hard,FALSE,Reviewed independent pilot seed retained for canonical expansion.
