id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes,review_priority,natural_query,service_context_clear,parent_label_correct,query_topic_correct,more_specific_leaf_available,neighbor_confusion_risk,language_style_correct,priority_correct,difficulty_correct,independent_seed,mutable_fact_safe,privacy_safe,retain_leaf,review_decision,review_notes
TAXQ_0001,নতুন করদাতা হিসেবে টিআইএন নিবন্ধনের প্রক্রিয়াটি কী?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Formal,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F01,Easy,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0002,"TIN করতে চাই, শুরুটা কোথা থেকে করব?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Informal,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F02,Medium,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0003,e-TIN registration process ta kivabe complete korbo?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F03,Medium,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0004,"ব্যবসা শুরু করেছি, taxpayer হিসেবে first registrationটা কীভাবে করব?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_REGISTRATION_PROCESS,TIN Registration Process,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_REGISTRATION_PROCESS_F04,Hard,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0005,কারা টিআইএন নিবন্ধন করতে পারেন বা প্রয়োজন হয়?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ELIGIBILITY,TIN Registration Eligibility,Low,Formal,FALSE,,SYNTHETIC,TAX_TIN_ELIGIBILITY_F01,Easy,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0006,"আমার income কম, তবুও TIN লাগবে নাকি?",TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ELIGIBILITY,TIN Registration Eligibility,Low,Informal,FALSE,,SYNTHETIC,TAX_TIN_ELIGIBILITY_F02,Medium,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0007,amar jonno e-TIN registration applicable kina janbo kivabe?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ELIGIBILITY,TIN Registration Eligibility,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_ELIGIBILITY_F03,Medium,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0008,freelancing শুরু করেছি—আমার ক্ষেত্রে taxpayer registration দরকার কি?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ELIGIBILITY,TIN Registration Eligibility,Low,Mixed,FALSE,,SYNTHETIC,TAX_TIN_ELIGIBILITY_F04,Hard,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0009,অনলাইনে ই-টিআইএন নিবন্ধন কীভাবে সম্পন্ন করব?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ONLINE_REGISTRATION,Online e-TIN Registration,Low,Formal,FALSE,,SYNTHETIC,TAX_TIN_ONLINE_REGISTRATION_F01,Easy,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
TAXQ_0010,e-TIN online করতে কোন option-এ যাব?,TAX,TAX_TIN_REGISTRATION,Taxpayer Registration and TIN,TAX_TIN_ONLINE_REGISTRATION,Online e-TIN Registration,Low,Informal,FALSE,,SYNTHETIC,TAX_TIN_ONLINE_REGISTRATION_F02,Medium,FALSE,Tax pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
