id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
NIDQ_0001,Who can apply for a new NID?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Formal,FALSE,,SYNTHETIC,NID_REGISTRATION_ELIGIBILITY_F01,Easy,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0002,Who can apply for a new NID; what should I do next?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Formal,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F01,Easy,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0003,এই বিষয়ে সহায়তা চাই: Who can apply for a new NID?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Formal,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F01,Easy,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0004,Could you explain the rules for citizenship eligibility?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Informal,FALSE,,SYNTHETIC,NID_REGISTRATION_ELIGIBILITY_F02,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0005,I am trying to understand this: Could you explain the rules for citizenship eligibility?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Informal,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F02,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0006,I need guidance on this: Could you explain the rules for citizenship eligibility?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Informal,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F02,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0007,I need guidance about general voter eligibility conditions. What should I do?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Mixed,FALSE,,SYNTHETIC,NID_REGISTRATION_ELIGIBILITY_F03,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0008,Could you explain I need guidance about general voter eligibility conditions. What should I do?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Mixed,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F03,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0009,Please tell me the correct process: I need guidance about general voter eligibility conditions. What should I do?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Mixed,FALSE,,PARAPHRASED,NID_REGISTRATION_ELIGIBILITY_F03,Medium,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
NIDQ_0010,How does registration Eligibility work?,NID,NID_REGISTRATION,NID / Voter Registration,NID_REGISTRATION_ELIGIBILITY,Registration Eligibility,Low,Mixed,FALSE,,SYNTHETIC,NID_REGISTRATION_ELIGIBILITY_F04,Hard,FALSE,Synthetic NID core anchored in reviewed taxonomy include examples; automated semantic/structural validation only; no REAL provenance claimed.
