id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
PGDQ_0001,সাধারণ ডায়েরি বা জিডি কী এবং এর উদ্দেশ্য কী?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0002,GD আসলে কী কাজে লাগে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0003,general diary keno kora hoy?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0004,পুলিশের কাছে GD করা বলতে ঠিক কী বোঝায়?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0005,কোন ধরনের ঘটনায় সাধারণত জিডি করা যায়?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_APPROPRIATE_USE,Whether a Matter Is Appropriate for GD,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_APPROPRIATE_USE_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0006,আমার জিনিস হারানোর বিষয়টা GD-তে জানানো যাবে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_APPROPRIATE_USE,Whether a Matter Is Appropriate for GD,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_APPROPRIATE_USE_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0007,ei ghotonar jonno GD kora appropriate hobe kina?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_APPROPRIATE_USE,Whether a Matter Is Appropriate for GD,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_APPROPRIATE_USE_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0008,ঘটনাটা পুলিশকে record করাতে চাই—GD service ব্যবহার করা যায় কি?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_APPROPRIATE_USE,Whether a Matter Is Appropriate for GD,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_APPROPRIATE_USE_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0009,"তাৎক্ষণিক বিপদের ঘটনায় জিডি করব, নাকি জরুরি পুলিশি সহায়তা চাইব?",POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_EMERGENCY_ROUTING,Emergency or Immediate-Danger Routing,High,Formal,FALSE,,SYNTHETIC,POLICE_GD_EMERGENCY_ROUTING_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0010,"এখনই danger আছে, online GD কি এই situation-এর জন্য?",POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_EMERGENCY_ROUTING,Emergency or Immediate-Danger Routing,High,Informal,FALSE,,SYNTHETIC,POLICE_GD_EMERGENCY_ROUTING_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0011,immediate safety risk hole GD na emergency help konta lagbe?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_EMERGENCY_ROUTING,Emergency or Immediate-Danger Routing,High,Mixed,FALSE,,SYNTHETIC,POLICE_GD_EMERGENCY_ROUTING_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
