id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
PGDX_0001,সাধারণ ডায়েরি বা জিডি কী এবং এর উদ্দেশ্য কী?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PGDX_0002,আমার ক্ষেত্রে সাধারণ ডায়েরি বা জিডি কী এবং এর উদ্দেশ্য কী?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Formal,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0003,সাধারণ ডায়েরি বা জিডি কী এবং এর উদ্দেশ্য কী; পরের ধাপটা কী?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Formal,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0004,GD আসলে কী কাজে লাগে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PGDX_0005,এটা নিয়ে সাহায্য দরকার: GD আসলে কী কাজে লাগে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Informal,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0006,এই বিষয়ে সহায়তা চাই: GD আসলে কী কাজে লাগে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Informal,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0007,general diary keno kora hoy?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PGDX_0008,I am trying to understand this: general diary keno kora hoy?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0009,I need guidance on this: general diary keno kora hoy?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PGDX_0010,পুলিশের কাছে GD করা বলতে ঠিক কী বোঝায়?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_PURPOSE_F04,Hard,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PGDX_0011,পুলিশের কাছে GD করা বলতে ঠিক কী বোঝায়—নিয়মটা জানাবেন?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_PURPOSE,General Diary Purpose,Low,Mixed,FALSE,,PARAPHRASED,POLICE_GD_PURPOSE_F04,Hard,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
