id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes,review_priority,natural_query,service_context_clear,parent_label_correct,query_topic_correct,more_specific_leaf_available,neighbor_confusion_risk,language_style_correct,priority_correct,difficulty_correct,independent_seed,mutable_fact_safe,privacy_safe,retain_leaf,review_decision,review_notes
DLQ_0001,শিক্ষানবিশ ড্রাইভিং লাইসেন্সের জন্য কারা আবেদন করতে পারেন?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0002,learner licence করার eligibility কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0003,ami learner driving licence er jonno eligible kina?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0004,গাড়ি চালানো শেখা শুরু করব—learner permit-এর জন্য qualify করি কি না জানতে চাই।,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_ELIGIBILITY,Learner Licence Eligibility,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_ELIGIBILITY_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0005,শিক্ষানবিশ ড্রাইভিং লাইসেন্স করার প্রক্রিয়াটি কী?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_PROCESS,Learner Licence Application Process,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_PROCESS_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0006,"learner licence করতে চাই, কীভাবে শুরু করব?",DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_PROCESS,Learner Licence Application Process,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_PROCESS_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0007,learner driving licence application process ta ki?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_PROCESS,Learner Licence Application Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_PROCESS_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0008,প্রথমে learner permit নেওয়ার ধাপগুলো সহজভাবে জানতে চাই।,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_PROCESS,Learner Licence Application Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_PROCESS_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0009,লার্নার ড্রাইভিং লাইসেন্সের জন্য কী কী কাগজপত্র লাগে?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_DOCUMENTS,Learner Licence Required Documents,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_DOCUMENTS_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0010,learner application-এ কোন documents লাগবে?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_DOCUMENTS,Learner Licence Required Documents,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_DOCUMENTS_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
