id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
PASSX_0001,নতুন ই-পাসপোর্টের জন্য আবেদন করার পুরো প্রক্রিয়াটি কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0002,আমার ক্ষেত্রে নতুন ই-পাসপোর্টের জন্য আবেদন করার পুরো প্রক্রিয়াটি কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0003,নতুন ই-পাসপোর্টের জন্য আবেদন করার পুরো প্রক্রিয়াটি কী; পরের ধাপটা কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0004,"প্রথমবার passport করতে চাই, শুরুটা কীভাবে করব?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0005,"এটা নিয়ে সাহায্য দরকার: প্রথমবার passport করতে চাই, শুরুটা কীভাবে করতে হবে?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0006,"প্রথমবার passport করতে চাই, শুরুটা কীভাবে করতে হবে?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0007,new e-passport apply korar process ta ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0008,I am trying to understand this: new e-passport apply korar process ta ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0009,I need guidance on this: new e-passport apply korar process ta ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0010,আগে কখনো passport করিনি—কোন step থেকে application শুরু করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PROCESS_F04,Hard,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0011,আগে কখনো passport করিনি—কোন step থেকে application শুরু করতে হবে—নিয়মটা জানাবেন?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F04,Hard,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0012,"আগে কখনো passport করিনি—কোন step থেকে application শুরু করতে হবে, একটু বুঝিয়ে বলবেন?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PROCESS,New Passport Application Process,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_PROCESS_F04,Hard,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0013,অনলাইনে ই-পাসপোর্টের আবেদন কীভাবে জমা দেব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0014,আমার ক্ষেত্রে অনলাইনে ই-পাসপোর্টের আবেদন কোন প্রক্রিয়ায় জমা দেব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0015,অনলাইনে ই-পাসপোর্টের আবেদন কোন প্রক্রিয়ায় জমা দেব; পরের ধাপটা কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0016,passport application online এ fill up করে submit করব কীভাবে?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0017,এটা নিয়ে সাহায্য দরকার: passport application online এ fill up করে submit করব কোন প্রক্রিয়ায়?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0018,passport application online এ fill up করে submit করব কোন প্রক্রিয়ায়?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0019,e-passport er online application kothay korte hoy?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0020,I am trying to understand this: e-passport er online application kon jaygay korte hoy?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0021,I need guidance on this: e-passport er online application kon jaygay korte hoy?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0022,"portal account আছে, এখন online passport applicationটা complete করব কীভাবে?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_ONLINE_F04,Hard,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0023,"portal account আছে, এখন online passport applicationটা complete করব কোন প্রক্রিয়ায়—নিয়মটা জানাবেন?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F04,Hard,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0024,"portal account আছে, এখন online passport applicationটা complete করব কোন প্রক্রিয়ায়, একটু বুঝিয়ে বলবেন?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_ONLINE,Online Passport Application,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_ONLINE_F04,Hard,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0025,ই-পাসপোর্টের আবেদন করার সময় কোন পাসপোর্ট অফিস নির্বাচন করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F01,Easy,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0026,আমার ক্ষেত্রে ই-পাসপোর্টের আবেদন করার সময় কোন পাসপোর্ট অফিস নির্বাচন করতে হবে?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F01,Easy,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0027,ই-পাসপোর্টের আবেদন করার সময় কোন পাসপোর্ট অফিস নির্বাচন করতে হবে; পরের ধাপটা কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Formal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F01,Easy,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0028,আমার এলাকার জন্য কোন passport office select করতে হবে বুঝছি না।,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F02,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0029,এটা নিয়ে সাহায্য দরকার: আমার এলাকার জন্য কোন passport office select করতে হবে বুঝছি না?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F02,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0030,আমার এলাকার জন্য কোন passport office select করতে হবে বুঝছি না?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Informal,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F02,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0031,amar address onujayi kon passport office select korbo?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F03,Medium,FALSE,Reviewed independent pilot seed retained for canonical expansion.
PASSX_0032,I am trying to understand this: amar address onujayi kon passport office select korte hobe?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F03,Medium,FALSE,Controlled paraphrase 1 of reviewed independent seed; family preserved; automated validation complete.
PASSX_0033,I need guidance on this: amar address onujayi kon passport office select korte hobe?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Mixed,FALSE,,PARAPHRASED,PASSPORT_APPLICATION_OFFICE_SELECTION_F03,Medium,FALSE,Controlled paraphrase 2 of reviewed independent seed; family preserved; automated validation complete.
